Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722336312159,30/07/2024 10:45:12,1722339912159,1,30/07/2024 12:45:12,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336318302,30/07/2024 10:45:18,1722339918302,1,30/07/2024 12:45:18,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Instruction,Screen 1,8wzu54,1,continue,,6161.008000143051,6150.108,6161.008000143051,6161.008000143051,6150.108,6161.008000143051,1,6161.008000143051,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336320097,30/07/2024 10:45:20,1722339920097,1,30/07/2024 12:45:20,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1806.5999999523165,1800.000000000001,1806.5999999523165,1806.5999999523165,1800.000000000001,1806.5999999523165,1,1806.5999999523165,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336320097,30/07/2024 10:45:20,1722339920097,1,30/07/2024 12:45:20,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1806.9000001430513,1800.000000000001,1806.9000001430513,1806.9000001430513,1800.000000000001,1806.9000001430513,1,1806.9000001430513,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336322157,30/07/2024 10:45:22,1722339922157,1,30/07/2024 12:45:22,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,2066.699999999999,1,2066.699999999999,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336322758,30/07/2024 10:45:22,1722339922758,1,30/07/2024 12:45:22,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,600.6000000000004,600.1000000000004,600.6000000000004,600.6000000000004,600.1000000000004,600.6000000000004,1,600.6000000000004,0,0,,Time Limit,screen,0,screen,Task,595,,
7,1722336337432,30/07/2024 10:45:37,1722339937432,1,30/07/2024 12:45:37,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,900,9216.900000000001,14650.3,14666.899999999998,9216.900000000001,14650.3,14666.899999999998,1,9216.900000000001,5449.999999999996,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
8,1722336342539,30/07/2024 10:45:42,1722339942539,1,30/07/2024 12:45:42,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,1,End,Screen 1,kny8tx,1,continue,,5132.300000143052,5116.299999999999,5132.300000143052,5132.300000143052,5116.299999999999,5132.300000143052,1,5132.300000143052,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336342543,30/07/2024 10:45:42,1722339942543,1,30/07/2024 12:45:42,184566,2,task-srcc,,39275077,BLIND,11517902,,complete,,66a8c4031e08e4cd7057fafb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 127.0.0.0,1440x900,1440x718,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336412681,30/07/2024 10:46:52,1722340012681,1,30/07/2024 12:46:52,184566,2,task-srcc,,39275110,BLIND,11517909,,complete,,66a8c4771b024c12418fbbbe,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,1278x1270,,,0,Fixation+Visual,3,595ms,visual,,,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
