Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722337394580,30/07/2024 11:03:14,1722340994580,1,30/07/2024 13:03:14,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x991,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722337412208,30/07/2024 11:03:32,1722341012208,1,30/07/2024 13:03:32,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Instruction,Screen 1,8wzu54,1,continue,,17645.073999999906,17632.574,17645.073999999906,17645.073999999906,17632.574,17645.073999999906,1,17645.073999999906,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722337413739,30/07/2024 11:03:33,1722341013739,1,30/07/2024 13:03:33,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Fixation,Screen 1,s2knah,1,continue,,1544.5999999999985,1533.2999999999993,1544.5999999999985,1544.5999999999985,1533.2999999999993,1544.5999999999985,1,1544.5999999999985,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722337413740,30/07/2024 11:03:33,1722341013740,1,30/07/2024 13:03:33,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Fixation,Screen 1,s2knah,1,continue,,1544.9999999999054,1533.2999999999993,1544.9999999999054,1544.9999999999054,1533.2999999999993,1544.9999999999054,1,1544.9999999999054,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722337415788,30/07/2024 11:03:35,1722341015788,1,30/07/2024 13:03:35,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.5,2066.5,2066.5,2066.5,2066.5,2066.5,1,2066.5,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722337417638,30/07/2024 11:03:37,1722341017638,1,30/07/2024 13:03:37,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Task,Stimuli,f9t134,1,timedOut,,1850.4999999999527,1850,1850.4999999999527,1850.4999999999527,1850,1850.4999999999527,1,1850.4999999999527,0,0,,Time Limit,screen,0,screen,Task,1851,,
7,1722337441764,30/07/2024 11:04:01,1722341041764,1,30/07/2024 13:04:01,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,Task,Response,6e9b15,2,response,760,15332.7,24115.7,24125.999999999953,15332.7,24115.7,24125.999999999953,1,15332.7,8793.299999999952,0,,Single Number Entry,Single Number Entry,1,object-79,Task,1851,,
8,1722337456388,30/07/2024 11:04:16,1722341056388,1,30/07/2024 13:04:16,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,1,End,Screen 1,kny8tx,1,continue,,14634.799999999952,14632.599999999999,14634.799999999952,14634.799999999952,14632.599999999999,14634.799999999952,1,14634.799999999952,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722337456393,30/07/2024 11:04:16,1722341056393,1,30/07/2024 13:04:16,184566,2,task-tssb,,39275851,BLIND,11517941,,complete,,66a8c533c9bebd1512497b6d,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1920x1080,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722337068346,30/07/2024 10:57:48,1722340668346,1,30/07/2024 12:57:48,184566,2,task-tssb,,39275517,BLIND,11518009,,complete,,66a8c707186e2a9d83d757d5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x705,,,0,Fixation+Visual,3,1851ms,,,visual,,,1851ms,,1851ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
