Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722336270879,30/07/2024 10:44:30,1722339870879,1,30/07/2024 12:44:30,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336279317,30/07/2024 10:44:39,1722339879317,1,30/07/2024 12:44:39,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Instruction,Screen 1,8wzu54,1,continue,,8450.899999999441,8440.3,8450.899999999441,8450.899999999441,8440.3,8450.899999999441,1,8450.899999999441,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336280912,30/07/2024 10:44:40,1722339880912,1,30/07/2024 12:44:40,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,1605.400000000187,1601.4000000000015,1605.400000000187,1605.400000000187,1601.4000000000015,1605.400000000187,1,1605.400000000187,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336280913,30/07/2024 10:44:40,1722339880913,1,30/07/2024 12:44:40,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,1606.900000000187,1601.4000000000015,1606.900000000187,1606.900000000187,1601.4000000000015,1606.900000000187,1,1606.900000000187,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336282976,30/07/2024 10:44:42,1722339882976,1,30/07/2024 12:44:42,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 2,61clbh,2,continue,,2068.3999999999996,2068.3999999999996,2068.3999999999996,2068.3999999999996,2068.3999999999996,2068.3999999999996,1,2068.3999999999996,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336284194,30/07/2024 10:44:44,1722339884194,1,30/07/2024 12:44:44,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Task,Stimuli,f9t134,1,timedOut,,1217.8999999999996,1217.699999999999,1217.8999999999996,1217.8999999999996,1217.699999999999,1217.8999999999996,1,1217.8999999999996,0,0,,Time Limit,screen,0,screen,Task,1223,,
7,1722336304519,30/07/2024 10:45:04,1722339904519,1,30/07/2024 12:45:04,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Task,Response,6e9b15,2,response,500,7606.200000000001,20317.000000000004,20325.400000000187,7606.200000000001,20317.000000000004,20325.400000000187,1,7606.200000000001,12719.200000000186,0,,Single Number Entry,Single Number Entry,1,object-79,Task,1223,,
8,1722336310006,30/07/2024 10:45:10,1722339910006,1,30/07/2024 12:45:10,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,End,Screen 1,kny8tx,1,continue,,5495.299999999625,5488.799999999996,5495.299999999625,5495.299999999625,5488.799999999996,5495.299999999625,1,5495.299999999625,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336310009,30/07/2024 10:45:10,1722339910009,1,30/07/2024 12:45:10,184566,2,task-tkr9,,39275068,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336326119,30/07/2024 10:45:26,1722339926119,1,30/07/2024 12:45:26,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336330767,30/07/2024 10:45:30,1722339930767,1,30/07/2024 12:45:30,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Instruction,Screen 1,8wzu54,1,continue,,4666.668999999999,4649.927,4666.668999999999,4666.668999999999,4649.927,4666.668999999999,1,4666.668999999999,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336332210,30/07/2024 10:45:32,1722339932210,1,30/07/2024 12:45:32,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,1460.8199997138981,1450.0330000000004,1460.8199997138981,1460.8199997138981,1450.0330000000004,1460.8199997138981,1,1460.8199997138981,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336332210,30/07/2024 10:45:32,1722339932210,1,30/07/2024 12:45:32,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,1461.5200000000004,1450.0330000000004,1461.5200000000004,1461.5200000000004,1450.0330000000004,1461.5200000000004,1,1461.5200000000004,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722336334267,30/07/2024 10:45:34,1722339934267,1,30/07/2024 12:45:34,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.6860000000006,2066.6860000000006,2066.6860000000006,2066.6860000000006,2066.6860000000006,2066.6860000000006,1,2066.6860000000006,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722336335483,30/07/2024 10:45:35,1722339935483,1,30/07/2024 12:45:35,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Task,Stimuli,f9t134,1,timedOut,,1217.900999904632,1216.687,1217.900999904632,1217.900999904632,1216.687,1217.900999904632,1,1217.900999904632,0,0,,Time Limit,screen,0,screen,Task,1223,,
7,1722336342801,30/07/2024 10:45:42,1722339942801,1,30/07/2024 12:45:42,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Task,Response,6e9b15,2,response,750,6116.562,7316.609999999999,7319.01399961853,6116.562,7316.609999999999,7319.01399961853,1,6116.562,1202.45199961853,0,,Single Number Entry,Single Number Entry,1,object-79,Task,1223,,
8,1722336346982,30/07/2024 10:45:46,1722339946982,1,30/07/2024 12:45:46,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,End,Screen 1,kny8tx,1,continue,,4183.624000000003,4166.815000000002,4183.624000000003,4183.624000000003,4166.815000000002,4183.624000000003,1,4183.624000000003,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1722336346985,30/07/2024 10:45:46,1722339946985,1,30/07/2024 12:45:46,184566,2,task-tkr9,,39275083,BLIND,11517898,,complete,,66a8c3dc905c6bea82c41944,computer,Desktop or Laptop,Windows 10,Edge 118.0.2088.46,1920x1080,1872x966,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336972856,30/07/2024 10:56:12,1722340572856,1,30/07/2024 12:56:12,184566,2,task-tkr9,,39275434,BLIND,11517964,,complete,,66a8c61f4b17c980a93e16b1,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336977351,30/07/2024 10:56:17,1722340577351,1,30/07/2024 12:56:17,184566,2,task-tkr9,,39275434,BLIND,11517964,,complete,,66a8c61f4b17c980a93e16b1,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Instruction,Screen 1,8wzu54,1,continue,,4515.927999999998,4499.227999999999,4515.927999999998,4515.927999999998,4499.227999999999,4515.927999999998,1,4515.927999999998,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1722336980650,30/07/2024 10:56:20,1722340580650,1,30/07/2024 12:56:20,184566,2,task-tkr9,,39275434,BLIND,11517964,,complete,,66a8c61f4b17c980a93e16b1,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,3326.7999999046333,3315.7000000000007,3326.7999999046333,3326.7999999046333,3315.7000000000007,3326.7999999046333,1,3326.7999999046333,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722336980651,30/07/2024 10:56:20,1722340580651,1,30/07/2024 12:56:20,184566,2,task-tkr9,,39275434,BLIND,11517964,,complete,,66a8c61f4b17c980a93e16b1,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Fixation+Visual,3,1223ms,,visual,,,,1223ms,,1223ms,1,Fixation,Screen 1,s2knah,1,continue,,3327.9000000476844,3315.7000000000007,3327.9000000476844,3327.9000000476844,3315.7000000000007,3327.9000000476844,1,3327.9000000476844,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
