Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722257355537,29/07/2024 12:49:15,1722260955537,1,29/07/2024 14:49:15,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722257363640,29/07/2024 12:49:23,1722260963640,1,29/07/2024 14:49:23,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Instructions,Screen 1,3u35xa,1,continue,,8115.999999999998,8099.699999999999,8115.999999999998,8115.999999999998,8099.699999999999,8115.999999999998,1,8115.999999999998,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722257365068,29/07/2024 12:49:25,1722260965068,1,29/07/2024 14:49:25,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Fixation,Screen 1,s2knah,1,continue,,1447.2000000000007,1433.9000000000015,1447.2000000000007,1447.2000000000007,1433.9000000000015,1447.2000000000007,1,1447.2000000000007,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722257365068,29/07/2024 12:49:25,1722260965068,1,29/07/2024 14:49:25,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Fixation,Screen 1,s2knah,1,continue,,1447.5999999761589,1433.9000000000015,1447.5999999761589,1447.5999999761589,1433.9000000000015,1447.5999999761589,1,1447.5999999761589,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722257367123,29/07/2024 12:49:27,1722260967123,1,29/07/2024 14:49:27,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.5,2066.5,2066.5,2066.5,2066.5,2066.5,1,2066.5,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722257367132,29/07/2024 12:49:27,1722260967132,1,29/07/2024 14:49:27,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Task,Stimuli,f9t134,1,info,audio started,10.499999928473699,0,10.499999928473699,10.499999928473699,0,10.499999928473699,1,10.499999928473699,0,0,,Audio Clip,Audio Clip,1,object-93,Task,1851,,
7,1722257368973,29/07/2024 12:49:28,1722260968973,1,29/07/2024 14:49:28,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Task,Stimuli,f9t134,1,timedOut,,1851.9000000238411,1850.0999999999985,1851.9000000238411,1851.9000000238411,1850.0999999999985,1851.9000000238411,1,1851.9000000238411,0,0,,Time Limit,screen,0,screen,Task,1851,,
8,1722257375053,29/07/2024 12:49:35,1722260975053,1,29/07/2024 14:49:35,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Task,Response,6e9b15,2,response,3000,4166.799999999999,6066.5,6081.700000000001,4166.799999999999,6066.5,6081.700000000001,1,4166.799999999999,1914.9000000000015,0,,Single Number Entry,Single Number Entry,1,object-79,Task,1851,,
9,1722257379522,29/07/2024 12:49:39,1722260979522,1,29/07/2024 14:49:39,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,End,Screen 1,rw9j8x,1,continue,,4483.9000000000015,4467.200000000001,4483.9000000000015,4483.9000000000015,4467.200000000001,4483.9000000000015,1,4483.9000000000015,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1722257379529,29/07/2024 12:49:39,1722260979529,1,29/07/2024 14:49:39,184566,2,task-xpu5,,39256043,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722336461076,30/07/2024 10:47:41,1722343661076,2,30/07/2024 14:47:41,184566,2,task-xpu5,,39275129,BLIND,11517914,,complete,,66a8c48b106d5a04c3986121,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1367x721,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722336466877,30/07/2024 10:47:46,1722343666877,2,30/07/2024 14:47:46,184566,2,task-xpu5,,39275129,BLIND,11517914,,complete,,66a8c48b106d5a04c3986121,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1367x721,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Instructions,Screen 1,3u35xa,1,continue,,9560,9543,9560,9560,9543,9560,1,9560,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722336468052,30/07/2024 10:47:48,1722343668052,2,30/07/2024 14:47:48,184566,2,task-xpu5,,39275129,BLIND,11517914,,complete,,66a8c48b106d5a04c3986121,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 13.1.2,1440x900,1367x721,,,0,Fixation+Audio,3,1851ms,,,audio,,,1851ms,,1851ms,1,Fixation,Screen 1,s2knah,1,continue,,1199,1183,1199,1199,1183,1199,1,1199,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
