Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719506142554,27/06/2024 16:35:42,1719509742554,1,27/06/2024 18:35:42,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506148409,27/06/2024 16:35:48,1719509748409,1,27/06/2024 18:35:48,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Instruction,Screen 1,8wzu54,1,continue,,5909.934,5898.834,5909.934,5909.934,5898.834,5909.934,1,5909.934,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1719506151228,27/06/2024 16:35:51,1719509751228,1,27/06/2024 18:35:51,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,2831.6000000000004,2815.800000000001,2831.6000000000004,2831.6000000000004,2815.800000000001,2831.6000000000004,1,2831.6000000000004,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506151229,27/06/2024 16:35:51,1719509751229,1,27/06/2024 18:35:51,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,2832.000000005961,2815.800000000001,2832.000000005961,2832.000000005961,2815.800000000001,2832.000000005961,1,2832.000000005961,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506153280,27/06/2024 16:35:53,1719509753280,1,27/06/2024 18:35:53,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.2999999999993,2066.2999999999993,2066.2999999999993,2066.2999999999993,2066.2999999999993,2066.2999999999993,1,2066.2999999999993,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506153714,27/06/2024 16:35:53,1719509753714,1,27/06/2024 18:35:53,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,timedOut,,434.59999999403954,433.5,434.59999999403954,434.59999999403954,433.5,434.59999999403954,1,434.59999999403954,0,0,,Time Limit,screen,0,screen,Task,438,,
7,1719506192435,27/06/2024 16:36:32,1719509792435,1,27/06/2024 18:36:32,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,Task,Response,6e9b15,2,response,1000,9581.7,38709.3,38723,9581.7,38709.3,38723,1,9581.7,29141.3,0,,Single Number Entry,Single Number Entry,1,object-79,Task,438,,
8,1719506200128,27/06/2024 16:36:40,1719509800128,1,27/06/2024 18:36:40,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,1,End,Screen 1,kny8tx,1,continue,,7705.899999988076,7698.5999999999985,7705.899999988076,7705.899999988076,7698.5999999999985,7705.899999988076,1,7705.899999988076,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1719506200141,27/06/2024 16:36:40,1719509800141,1,27/06/2024 18:36:40,161157,9,task-tkr9,,38547713,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506315887,27/06/2024 16:38:35,1719509915887,1,27/06/2024 18:38:35,161157,9,task-tkr9,,38547870,BLIND,11326080,,complete,,667d957e17316eb505ead2bc,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x641,,,0,Fixation+Visual,5,438ms,,visual,,,,438ms,,438ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
