Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719506128651,27/06/2024 16:35:28,1719509728651,1,27/06/2024 18:35:28,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506135315,27/06/2024 16:35:35,1719509735315,1,27/06/2024 18:35:35,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Instruction,Screen 1,8wzu54,1,continue,,6656,6640,6656,6656,6640,6656,1,6656,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1719506137096,27/06/2024 16:35:37,1719509737096,1,27/06/2024 18:35:37,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1815.0000000000018,1796,1815.0000000000018,1815.0000000000018,1796,1815.0000000000018,1,1815.0000000000018,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506137096,27/06/2024 16:35:37,1719509737096,1,27/06/2024 18:35:37,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1815.0000000000018,1796,1815.0000000000018,1815.0000000000018,1796,1815.0000000000018,1,1815.0000000000018,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506139150,27/06/2024 16:35:39,1719509739150,1,27/06/2024 18:35:39,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2071,2071,2071,2071,2071,2071,1,2071,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506139749,27/06/2024 16:35:39,1719509739749,1,27/06/2024 18:35:39,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,601,600,601,601,600,601,1,601,0,0,,Time Limit,screen,0,screen,Task,595,,
7,1719506154534,27/06/2024 16:35:54,1719509754534,1,27/06/2024 18:35:54,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,800,11799,14777,14786,11799,14777,14786,1,11799,2987,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
8,1719506159072,27/06/2024 16:35:59,1719509759072,1,27/06/2024 18:35:59,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,End,Screen 1,kny8tx,1,continue,,4539,4522,4539,4539,4522,4539,1,4539,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1719506159074,27/06/2024 16:35:59,1719509759074,1,27/06/2024 18:35:59,161157,9,task-tssb,,38547707,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506524092,27/06/2024 16:42:04,1719510124092,1,27/06/2024 18:42:04,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506558481,27/06/2024 16:42:38,1719510158481,1,27/06/2024 18:42:38,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Instruction,Screen 1,8wzu54,1,continue,,34394.899999999994,34378.24,34394.899999999994,34394.899999999994,34378.24,34394.899999999994,1,34394.899999999994,0,0,,Click To Continue,Continue Button,2,object-96,Instruction,,,
3,1719506560652,27/06/2024 16:42:40,1719510160652,1,27/06/2024 18:42:40,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,2182.519999999997,2165.8600000000006,2182.519999999997,2182.519999999997,2165.8600000000006,2182.519999999997,1,2182.519999999997,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506560656,27/06/2024 16:42:40,1719510160656,1,27/06/2024 18:42:40,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,2182.519999999997,2165.8600000000006,2182.519999999997,2182.519999999997,2165.8600000000006,2182.519999999997,1,2182.519999999997,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506562695,27/06/2024 16:42:42,1719510162695,1,27/06/2024 18:42:42,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.5,2066.5,2066.5,2066.5,2066.5,2066.5,1,2066.5,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506563295,27/06/2024 16:42:43,1719510163295,1,27/06/2024 18:42:43,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,601.260000000002,599.8000000000029,601.260000000002,601.260000000002,599.8000000000029,601.260000000002,1,601.260000000002,0,0,,Time Limit,screen,0,screen,Task,595,,
7,1719506581311,27/06/2024 16:43:01,1719510181311,1,27/06/2024 18:43:01,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,100,6598.919999999998,18013.82,18018.46,6598.919999999998,18013.82,18018.46,1,6598.919999999998,11419.54,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
8,1719506585991,27/06/2024 16:43:05,1719510185991,1,27/06/2024 18:43:05,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,1,End,Screen 1,kny8tx,1,continue,,4665.940000000002,4649.279999999999,4665.940000000002,4665.940000000002,4649.279999999999,4665.940000000002,1,4665.940000000002,0,0,,Click To Continue,Continue Button,2,object-100,End,,,
9,1719506585997,27/06/2024 16:43:05,1719510185997,1,27/06/2024 18:43:05,161157,9,task-tssb,,38547980,BLIND,11326109,,complete,,667d95d7fcbf3d59d9264ec3,computer,Desktop or Laptop,Windows 10,Firefox 126.0,1366x768,1366x615,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506535555,27/06/2024 16:42:15,1719510135555,1,27/06/2024 18:42:15,161157,9,task-tssb,,38547988,BLIND,11326115,,complete,,667d96396025badd112917b4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 125.0.0.0,1440x900,1440x812,,,0,Fixation+Visual,5,595ms,,,visual,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
