Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719506344556,27/06/2024 16:39:04,1719509944556,1,27/06/2024 18:39:04,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506349997,27/06/2024 16:39:09,1719509949997,1,27/06/2024 18:39:09,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Instructions,Screen 1,3u35xa,1,continue,,6549,6548,6549,6549,6548,6549,1,6549,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719506351769,27/06/2024 16:39:11,1719509951769,1,27/06/2024 18:39:11,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Fixation,Screen 1,s2knah,1,continue,,1773,1768,1773,1773,1768,1773,1,1773,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506351770,27/06/2024 16:39:11,1719509951770,1,27/06/2024 18:39:11,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Fixation,Screen 1,s2knah,1,continue,,1774.0000000000018,1768,1774.0000000000018,1774.0000000000018,1768,1774.0000000000018,1,1774.0000000000018,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506353831,27/06/2024 16:39:13,1719509953831,1,27/06/2024 18:39:13,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Fixation,Screen 2,61clbh,2,continue,,2067,2067,2067,2067,2067,2067,1,2067,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506353836,27/06/2024 16:39:13,1719509953836,1,27/06/2024 18:39:13,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Task,Stimuli,f9t134,1,info,audio started,5,0,5,5,0,5,1,5,0,0,,Audio Clip,Audio Clip,1,object-93,Task,752,,
7,1719506354586,27/06/2024 16:39:14,1719509954586,1,27/06/2024 18:39:14,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Task,Stimuli,f9t134,1,timedOut,,756,755,756,756,755,756,1,756,0,0,,Time Limit,screen,0,screen,Task,752,,
8,1719506362953,27/06/2024 16:39:22,1719509962953,1,27/06/2024 18:39:22,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,Task,Response,6e9b15,2,response,500,6763,8363,8367,6763,8363,8367,1,6763,1604,0,,Single Number Entry,Single Number Entry,1,object-79,Task,752,,
9,1719506369820,27/06/2024 16:39:29,1719509969820,1,27/06/2024 18:39:29,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,1,End,Screen 1,rw9j8x,1,continue,,6871,6869,6871,6871,6869,6871,1,6871,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719506369822,27/06/2024 16:39:29,1719509969822,1,27/06/2024 18:39:29,161157,9,task-znge,,38547851,BLIND,11326074,,complete,,667d9556313953cc8778c931,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,3840x1080,2062x902,,,0,Fixation+Audio,6,752ms,,,,audio,,752ms,,752ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
