Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
5,1719507247149,27/06/2024 16:54:07,1719510847149,1,27/06/2024 18:54:07,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 2,61clbh,2,continue,,2033.2000000000007,2033.2000000000007,2033.2000000000007,2033.2000000000007,2033.2000000000007,2033.2000000000007,1,2033.2000000000007,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719507247163,27/06/2024 16:54:07,1719510847163,1,27/06/2024 18:54:07,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,info,audio started,14.999999856947397,0,14.999999856947397,14.999999856947397,0,14.999999856947397,1,14.999999856947397,0,0,,Audio Clip,Audio Clip,1,object-93,Task,595,,
7,1719507247749,27/06/2024 16:54:07,1719510847749,1,27/06/2024 18:54:07,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Stimuli,f9t134,1,timedOut,,601.6999999046311,600.1999999999971,601.6999999046311,601.6999999046311,600.1999999999971,601.6999999046311,1,601.6999999046311,0,0,,Time Limit,screen,0,screen,Task,595,,
8,1719507262485,27/06/2024 16:54:22,1719510862485,1,27/06/2024 18:54:22,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Task,Response,6e9b15,2,response,1000,11732.400000000001,14732.200000000004,14737.600000047685,11732.400000000001,14732.200000000004,14737.600000047685,1,11732.400000000001,3005.2000000476837,0,,Single Number Entry,Single Number Entry,1,object-79,Task,595,,
9,1719507267321,27/06/2024 16:54:27,1719510867321,1,27/06/2024 18:54:27,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,End,Screen 1,rw9j8x,1,continue,,4840.999999952313,4833.0999999999985,4840.999999952313,4840.999999952313,4833.0999999999985,4840.999999952313,1,4840.999999952313,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719507267334,27/06/2024 16:54:27,1719510867334,1,27/06/2024 18:54:27,161157,9,task-xpu5,,38548750,BLIND,11326350,,complete,,667d98695e86679c0ef4f9ca,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1366x768,1318x646,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719507266887,27/06/2024 16:54:26,1719510866887,1,27/06/2024 18:54:26,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,mobile,undefined K,Android 10,Chrome 125.0.0.0,412x915,412x773,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719507498685,27/06/2024 16:58:18,1719511098685,1,27/06/2024 18:58:18,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
3,1719507500436,27/06/2024 16:58:20,1719511100436,1,27/06/2024 18:58:20,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1780.899999999997,1766.3999999999996,1780.899999999997,1780.899999999997,1766.3999999999996,1780.899999999997,1,1780.899999999997,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719507500437,27/06/2024 16:58:20,1719511100437,1,27/06/2024 18:58:20,161157,9,task-xpu5,,38548785,BLIND,11326344,,complete,,667d98cba67e5be27aa9c58a,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1418x798,1418x663,,,0,Fixation+Audio,6,595ms,,,audio,,,595ms,,595ms,1,Fixation,Screen 1,s2knah,1,continue,,1782.6999999999998,1766.3999999999996,1782.6999999999998,1782.6999999999998,1766.3999999999996,1782.6999999999998,1,1782.6999999999998,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
