Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1719506539228,27/06/2024 16:42:19,1719510139228,1,27/06/2024 18:42:19,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506544352,27/06/2024 16:42:24,1719510144352,1,27/06/2024 18:42:24,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Instructions,Screen 1,3u35xa,1,continue,,5141.525999976158,5133.326,5141.525999976158,5141.525999976158,5133.326,5141.525999976158,1,5141.525999976158,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719506545875,27/06/2024 16:42:25,1719510145875,1,27/06/2024 18:42:25,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,1530.8000000000002,1516.8000000000002,1530.8000000000002,1530.8000000000002,1516.8000000000002,1530.8000000000002,1,1530.8000000000002,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506545875,27/06/2024 16:42:25,1719510145875,1,27/06/2024 18:42:25,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,1531.1999999761583,1516.8000000000002,1531.1999999761583,1531.1999999761583,1516.8000000000002,1531.1999999761583,1,1531.1999999761583,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506547928,27/06/2024 16:42:27,1719510147928,1,27/06/2024 18:42:27,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,1,2066.7000000000007,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506547930,27/06/2024 16:42:27,1719510147930,1,27/06/2024 18:42:27,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,info,audio started,2.4999999284736987,0,2.4999999284736987,2.4999999284736987,0,2.4999999284736987,1,2.4999999284736987,0,0,,Audio Clip,Audio Clip,1,object-93,Task,281,,
7,1719506548211,27/06/2024 16:42:28,1719510148211,1,27/06/2024 18:42:28,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,timedOut,,284.1999999761574,283.39999999999964,284.1999999761574,284.1999999761574,283.39999999999964,284.1999999761574,1,284.1999999761574,0,0,,Time Limit,screen,0,screen,Task,281,,
8,1719506565207,27/06/2024 16:42:45,1719510165207,1,27/06/2024 18:42:45,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Response,6e9b15,2,response,200,13034.4,16984.5,16996.699999952318,13034.4,16984.5,16996.699999952318,1,13034.4,3962.299999952318,0,,Single Number Entry,Single Number Entry,1,object-79,Task,281,,
9,1719506569109,27/06/2024 16:42:49,1719510169109,1,27/06/2024 18:42:49,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,End,Screen 1,rw9j8x,1,continue,,3913.4000000000015,3900,3913.4000000000015,3913.4000000000015,3900,3913.4000000000015,1,3913.4000000000015,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719506569111,27/06/2024 16:42:49,1719510169111,1,27/06/2024 18:42:49,161157,9,task-ifcn,,38547990,BLIND,11326117,,complete,,667d95e1290274b1211092df,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1920x1080,1872x932,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506733268,27/06/2024 16:45:33,1719510333268,1,27/06/2024 18:45:33,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506739805,27/06/2024 16:45:39,1719510339805,1,27/06/2024 18:45:39,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Instructions,Screen 1,3u35xa,1,continue,,6606.774000000001,6590.174000000001,6606.774000000001,6606.774000000001,6590.174000000001,6606.774000000001,1,6606.774000000001,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719506740652,27/06/2024 16:45:40,1719510340652,1,27/06/2024 18:45:40,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,871.3999999999996,865.5,871.3999999999996,871.3999999999996,865.5,871.3999999999996,1,871.3999999999996,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506740654,27/06/2024 16:45:40,1719510340654,1,27/06/2024 18:45:40,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,873.2999999985095,865.5,873.2999999985095,873.2999999985095,865.5,873.2999999985095,1,873.2999999985095,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506742712,27/06/2024 16:45:42,1719510342712,1,27/06/2024 18:45:42,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 2,61clbh,2,continue,,2063.7999999999993,2063.7999999999993,2063.7999999999993,2063.7999999999993,2063.7999999999993,2063.7999999999993,1,2063.7999999999993,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506742730,27/06/2024 16:45:42,1719510342730,1,27/06/2024 18:45:42,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,info,audio started,16.799999999999272,0,16.799999999999272,16.799999999999272,0,16.799999999999272,1,16.799999999999272,0,0,,Audio Clip,Audio Clip,1,object-93,Task,281,,
7,1719506742995,27/06/2024 16:45:42,1719510342995,1,27/06/2024 18:45:42,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,timedOut,,284.60000000000036,283.2000000000007,284.60000000000036,284.60000000000036,283.2000000000007,284.60000000000036,1,284.60000000000036,0,0,,Time Limit,screen,0,screen,Task,281,,
8,1719506763460,27/06/2024 16:46:03,1719510363460,1,27/06/2024 18:46:03,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Response,6e9b15,2,response,500,18357,20454.199999999997,20466.599999999256,18357,20454.199999999997,20466.599999999256,1,18357,2109.5999999992564,0,,Single Number Entry,Single Number Entry,1,object-79,Task,281,,
9,1719506767537,27/06/2024 16:46:07,1719510367537,1,27/06/2024 18:46:07,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,End,Screen 1,rw9j8x,1,continue,,4089.2999999977656,4078.2000000000007,4089.2999999977656,4089.2999999977656,4078.2000000000007,4089.2999999977656,1,4089.2999999977656,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719506767549,27/06/2024 16:46:07,1719510367549,1,27/06/2024 18:46:07,161157,9,task-ifcn,,38548113,BLIND,11326155,,complete,,667d96f0b25237ac4e75e018,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1719506781129,27/06/2024 16:46:21,1719510381129,1,27/06/2024 18:46:21,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1719506784481,27/06/2024 16:46:24,1719510384481,1,27/06/2024 18:46:24,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Instructions,Screen 1,3u35xa,1,continue,,3396.2,3384.5999999999995,3396.2,3396.2,3384.5999999999995,3396.2,1,3396.2,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1719506786033,27/06/2024 16:46:26,1719510386033,1,27/06/2024 18:46:26,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,1565.1000000000004,1550.5,1565.1000000000004,1565.1000000000004,1550.5,1565.1000000000004,1,1565.1000000000004,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1719506786034,27/06/2024 16:46:26,1719510386034,1,27/06/2024 18:46:26,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 1,s2knah,1,continue,,1565.6000000000004,1550.5,1565.6000000000004,1565.6000000000004,1550.5,1565.6000000000004,1,1565.6000000000004,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1719506788088,27/06/2024 16:46:28,1719510388088,1,27/06/2024 18:46:28,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Fixation,Screen 2,61clbh,2,continue,,2067.6000000000004,2067.6000000000004,2067.6000000000004,2067.6000000000004,2067.6000000000004,2067.6000000000004,1,2067.6000000000004,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1719506788093,27/06/2024 16:46:28,1719510388093,1,27/06/2024 18:46:28,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,info,audio started,6.5,0,6.5,6.5,0,6.5,1,6.5,0,0,,Audio Clip,Audio Clip,1,object-93,Task,281,,
7,1719506788371,27/06/2024 16:46:28,1719510388371,1,27/06/2024 18:46:28,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Stimuli,f9t134,1,timedOut,,284.6000000014901,283.39999999999964,284.6000000014901,284.6000000014901,283.39999999999964,284.6000000014901,1,284.6000000014901,0,0,,Time Limit,screen,0,screen,Task,281,,
8,1719506807982,27/06/2024 16:46:47,1719510407982,1,27/06/2024 18:46:47,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,Task,Response,6e9b15,2,response,500,16056.1,19590.800000000003,19607.500000000004,16056.1,19590.800000000003,19607.500000000004,1,16056.1,3551.4000000000033,0,,Single Number Entry,Single Number Entry,1,object-79,Task,281,,
9,1719506810928,27/06/2024 16:46:50,1719510410928,1,27/06/2024 18:46:50,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,1,End,Screen 1,rw9j8x,1,continue,,2967.699999999997,2951.0999999999985,2967.699999999997,2967.699999999997,2951.0999999999985,2967.699999999997,1,2967.699999999997,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1719506810930,27/06/2024 16:46:50,1719510410930,1,27/06/2024 18:46:50,161157,9,task-ifcn,,38548161,BLIND,11326166,,complete,,667d971f19ec2c5fc810d934,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 125.0.0.0,1366x768,1366x633,,,0,Fixation+Audio,6,281ms,audio,,,,,281ms,,281ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
