Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
15,1719505926293,27/06/2024 16:32:06,1719505925477,1,27/06/2024 17:32:05,161157,9,questionnaire-i1ko,,38547509,BLIND,11326000,,complete,,667d93bb0c771e3e2a66350d,computer,Desktop or Laptop,Windows 10,Chrome 125.0.0.0,1280x720,1263x551,,,,Consent from the previous project,2,438ms,,audio,,,,No,END QUESTIONNAIRE,62416
1,1719506045981,27/06/2024 16:34:05,1719506045827,1,27/06/2024 17:34:05,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,BEGIN QUESTIONNAIRE,
2,1719506120699,27/06/2024 16:35:20,1719506120431,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,birth.date-day,30
3,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,birth.date-month,7
4,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,birth.date-year,57
5,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,sex,Female
6,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,sex-quantised,2
7,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,sex-text,
8,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent1,1
9,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent2,1
10,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent3,1
11,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent4,1
12,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent5,1
13,1719506120770,27/06/2024 16:35:20,1719506120434,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent6,1
14,1719506120770,27/06/2024 16:35:20,1719506120435,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,Consent7,1
15,1719506120770,27/06/2024 16:35:20,1719506120435,1,27/06/2024 17:35:20,161157,9,questionnaire-i1ko,,38547657,BLIND,11326039,,complete,,667d946d1ed71867584beb02,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.5,820x1180,1180x710,,,,Consent from the previous project,2,595ms,,,visual,,,No,END QUESTIONNAIRE,74608
1,1719506056216,27/06/2024 16:34:16,1719506055013,1,27/06/2024 17:34:15,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1366x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,BEGIN QUESTIONNAIRE,
2,1719506129126,27/06/2024 16:35:29,1719506128113,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,birth.date-day,18
3,1719506129254,27/06/2024 16:35:29,1719506128115,1,27/06/2024 17:35:28,161157,9,questionnaire-i1ko,,38547663,BLIND,11326041,,complete,,667d94720f87dc0555036cb6,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1366x768,1349x607,,,,Consent from the previous project,2,438ms,,visual,,,,No,birth.date-month,8
