Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
1,1722253139577,29/07/2024 11:38:59,1722253139343,1,29/07/2024 12:38:59,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,BEGIN QUESTIONNAIRE,
2,1722253180974,29/07/2024 11:39:40,1722253180853,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-day,14
3,1722253181133,29/07/2024 11:39:41,1722253180853,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-month,9
4,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,birth.date-year,36
5,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex,Male
6,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex-quantised,1
7,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,sex-text,
8,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent1,1
9,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent2,1
10,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent3,1
11,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent4,1
12,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent5,1
13,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent6,1
14,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,Consent7,1
15,1722253181133,29/07/2024 11:39:41,1722253180854,1,29/07/2024 12:39:40,161157,10,questionnaire-i1ko,,39253203,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1579x742,,,,Consent from the previous project,2,438ms,,audio,,,,No,END QUESTIONNAIRE,41511
