Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Randomise questionnaire elements?,Question Key,Response
15,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,Consent7,1
16,1722257344744,29/07/2024 12:49:04,1722257344515,1,29/07/2024 13:49:04,184566,2,questionnaire-i1ko,,39255971,BLIND,11513401,,complete,,0tnrxmo5pk5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x778,,,,PIS and Consent Form,2,1851ms,,,audio,,,No,END QUESTIONNAIRE,16299
1,1722336225731,30/07/2024 10:43:45,1722336226084,1,30/07/2024 11:43:46,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,BEGIN QUESTIONNAIRE,
2,1722336260372,30/07/2024 10:44:20,1722336260893,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-day,0
3,1722336260444,30/07/2024 10:44:20,1722336260893,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-month,0
4,1722336260444,30/07/2024 10:44:20,1722336260893,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,birth.date-year,22
5,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex,Male
6,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex-quantised,1
7,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,sex-text,
8,1722336260444,30/07/2024 10:44:20,1722336260894,1,30/07/2024 11:44:20,184566,2,questionnaire-i1ko,,39275056,BLIND,11517897,,complete,,66a8c3ce4e61eae3da6ad981,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2543x1313,,,,PIS and Consent Form,2,1223ms,,visual,,,,No,Consent1,1
