Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-jxg3,randomiser-4pcx,randomiser-rj4a,randomiser-lhwo,randomiser-2rg1,randomiser-x87o,Spreadsheet,duarion,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: duration,Manipulation: Spreadsheet,Manipulation: duarion
1,1722253175219,29/07/2024 11:39:35,1722256775219,1,29/07/2024 13:39:35,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722253180486,29/07/2024 11:39:40,1722256780486,1,29/07/2024 13:39:40,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Instructions,Screen 1,3u35xa,1,continue,,5286.2999998569485,5283.200000000001,5286.2999998569485,5286.2999998569485,5283.200000000001,5286.2999998569485,1,5286.2999998569485,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722253181881,29/07/2024 11:39:41,1722256781881,1,29/07/2024 13:39:41,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,1398.5999998569487,1391.8000000000002,1398.5999998569487,1398.5999998569487,1391.8000000000002,1398.5999998569487,1,1398.5999998569487,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722253181881,29/07/2024 11:39:41,1722256781881,1,29/07/2024 13:39:41,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,1399.1999999999998,1391.8000000000002,1399.1999999999998,1399.1999999999998,1391.8000000000002,1399.1999999999998,1,1399.1999999999998,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722253183958,29/07/2024 11:39:43,1722256783958,1,29/07/2024 13:39:43,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 2,61clbh,2,continue,,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,1,2083.3999999999996,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722253183963,29/07/2024 11:39:43,1722256783963,1,29/07/2024 13:39:43,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,info,audio started,5.5,0,5.5,5.5,0,5.5,1,5.5,0,0,,Audio Clip,Audio Clip,1,object-93,Task,438,,
7,1722253184400,29/07/2024 11:39:44,1722256784400,1,29/07/2024 13:39:44,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,timedOut,,442.89999985694885,441.7000000000007,442.89999985694885,442.89999985694885,441.7000000000007,442.89999985694885,1,442.89999985694885,0,0,,Time Limit,screen,0,screen,Task,438,,
8,1722253198147,29/07/2024 11:39:58,1722256798147,1,29/07/2024 13:39:58,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Response,6e9b15,2,response,500,10249.899999999998,13741.599999999999,13749.999999999996,10249.899999999998,13741.599999999999,13749.999999999996,1,10249.899999999998,3500.0999999999985,0,,Single Number Entry,Single Number Entry,1,object-79,Task,438,,
9,1722253205173,29/07/2024 11:40:05,1722256805173,1,29/07/2024 13:40:05,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,End,Screen 1,rw9j8x,1,continue,,7036.999999952317,7033.299999999999,7036.999999952317,7036.999999952317,7033.299999999999,7036.999999952317,1,7036.999999952317,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1722253205176,29/07/2024 11:40:05,1722256805176,1,29/07/2024 13:40:05,161157,10,task-2r4x,,39253234,BLIND,11512479,,complete,,66a77f43850cf707c246e96f,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1600x1067,1600x932,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722253160503,29/07/2024 11:39:20,1722256760503,1,29/07/2024 13:39:20,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722253163601,29/07/2024 11:39:23,1722256763601,1,29/07/2024 13:39:23,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Instructions,Screen 1,3u35xa,1,continue,,3106.6999999940394,3104.2999999999997,3106.6999999940394,3106.6999999940394,3104.2999999999997,3106.6999999940394,1,3106.6999999940394,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722253164340,29/07/2024 11:39:24,1722256764340,1,29/07/2024 13:39:24,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,742.0000000178816,736.1000000000004,742.0000000178816,742.0000000178816,736.1000000000004,742.0000000178816,1,742.0000000178816,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722253164341,29/07/2024 11:39:24,1722256764341,1,29/07/2024 13:39:24,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,742.2000000059606,736.1000000000004,742.2000000059606,742.2000000059606,736.1000000000004,742.2000000059606,1,742.2000000059606,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722253166418,29/07/2024 11:39:26,1722256766418,1,29/07/2024 13:39:26,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 2,61clbh,2,continue,,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,2083.3999999999996,1,2083.3999999999996,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722253166420,29/07/2024 11:39:26,1722256766420,1,29/07/2024 13:39:26,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,info,audio started,2.300000000000182,0,2.300000000000182,2.300000000000182,0,2.300000000000182,1,2.300000000000182,0,0,,Audio Clip,Audio Clip,1,object-93,Task,438,,
7,1722253166856,29/07/2024 11:39:26,1722256766856,1,29/07/2024 13:39:26,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,timedOut,,437.70000000596065,437.5,437.70000000596065,437.70000000596065,437.5,437.70000000596065,1,437.70000000596065,0,0,,Time Limit,screen,0,screen,Task,438,,
8,1722253174163,29/07/2024 11:39:34,1722256774163,1,29/07/2024 13:39:34,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Response,6e9b15,2,response,300,6139.000000000001,7305.7,7307.500000017882,6139.000000000001,7305.7,7307.500000017882,1,6139.000000000001,1168.5000000178807,0,,Single Number Entry,Single Number Entry,1,object-79,Task,438,,
9,1722253177594,29/07/2024 11:39:37,1722256777594,1,29/07/2024 13:39:37,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,End,Screen 1,rw9j8x,1,continue,,3433.3000000178818,3430.699999999999,3433.3000000178818,3433.3000000178818,3430.699999999999,3433.3000000178818,1,3433.3000000178818,0,0,,Click To Continue,Continue Button,2,object-97,End,,,
10,1722253177595,29/07/2024 11:39:37,1722256777595,1,29/07/2024 13:39:37,161157,10,task-2r4x,,39253215,BLIND,11512481,,complete,,66a77f40bf31cbe242976973,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,2560x1440,2560x1271,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,,,,,,info,END,,,,,,,0,,,,,,,,,,,,
1,1722253202437,29/07/2024 11:40:02,1722256802437,1,29/07/2024 13:40:02,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,
2,1722253212209,29/07/2024 11:40:12,1722256812209,1,29/07/2024 13:40:12,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Instructions,Screen 1,3u35xa,1,continue,,9781.814000023842,9766.714,9781.814000023842,9781.814000023842,9766.714,9781.814000023842,1,9781.814000023842,0,0,,Click To Continue,Continue Button,2,object-101,Instructions,,,
3,1722253214005,29/07/2024 11:40:14,1722256814005,1,29/07/2024 13:40:14,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,1811.5,1799.7000000000007,1811.5,1811.5,1799.7000000000007,1811.5,1,1811.5,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
4,1722253214007,29/07/2024 11:40:14,1722256814007,1,29/07/2024 13:40:14,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 1,s2knah,1,continue,,1813.4000000357628,1799.7000000000007,1813.4000000357628,1813.4000000357628,1799.7000000000007,1813.4000000357628,1,1813.4000000357628,0,0,,Space To Continue,Space To Continue,1,object-92,Fixation,,,
5,1722253216061,29/07/2024 11:40:16,1722256816061,1,29/07/2024 13:40:16,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Fixation,Screen 2,61clbh,2,continue,,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,2066.7000000000007,1,2066.7000000000007,0,0,,Fixation Timing,Fixation,1,object-90,Fixation,,,
6,1722253216066,29/07/2024 11:40:16,1722256816066,1,29/07/2024 13:40:16,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,info,audio started,5.700000023840403,0,5.700000023840403,5.700000023840403,0,5.700000023840403,1,5.700000023840403,0,0,,Audio Clip,Audio Clip,1,object-93,Task,438,,
7,1722253216495,29/07/2024 11:40:16,1722256816495,1,29/07/2024 13:40:16,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Stimuli,f9t134,1,timedOut,,434.2999999880776,433.5,434.2999999880776,434.2999999880776,433.5,434.2999999880776,1,434.2999999880776,0,0,,Time Limit,screen,0,screen,Task,438,,
8,1722253225764,29/07/2024 11:40:25,1722256825764,1,29/07/2024 13:40:25,161157,10,task-2r4x,,39253274,BLIND,11512484,,complete,,66a77f4152c5f4a43425a5e6,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1280x720,1600x742,,,0,Fixation+Audio,6,438ms,,audio,,,,438ms,,438ms,1,Task,Response,6e9b15,2,response,150,6399.799999999999,9266.099999999999,9270.500000035761,6399.799999999999,9266.099999999999,9270.500000035761,1,6399.799999999999,2870.700000035762,0,,Single Number Entry,Single Number Entry,1,object-79,Task,438,,
